IMPACT_CATEGORY_ID,IMPACT_METHOD_ID,IMPACT_CATEGORY_NAME,IMPACT_CATEGORY_NAME_IN_METHOD
23ef867c-d253-4a67-bfee-d658147b4768,167c6bac-650c-4413-adfe-9f93b2b22488,climate change: emissions from direct land use change,climate change
215901ce-6199-4add-97ef-c4d3204a7328,25583383-5a50-4fbf-9850-c9f2d57607b5,emissions to air,
09e5881d-66e7-47fb-bb7b-ab98b49f58ca,25583383-5a50-4fbf-9850-c9f2d57607b5,emissions to air,
e3bc6904-d5ce-4994-b97b-d2d9403c315a,25583383-5a50-4fbf-9850-c9f2d57607b5,emissions to air,
09fbbfbf-95d5-414a-8417-91d5e1f5c7b1,b42b5d7d-371c-4c00-a601-cf9572670e00,human health no LT,
7bb72996-588c-479a-a55b-4a0c25e9ec07,e1ba87fc-66bd-4be7-8b09-e4d14da279be,ecosystem quality no LT,
7196ba4d-201a-4c37-8fdc-b846f209a0ca,4d9ac60a-73ab-40cf-bc71-d967ef59865e,human health,Human health
8638f5b0-61b7-4502-bfe6-809b38c0156b,48197fde-fc9e-4563-8eb0-6ea9a5598a5c,ecosystem quality no LT,
f56035e5-1064-4a7f-90ab-e5e29d0a56ea,0310cf09-b06f-45ef-af69-b5a41880170d,eutrophication: marine,Marine eutrophication
fb5078d6-c1ec-4274-877d-00eed80494f7,0310cf09-b06f-45ef-af69-b5a41880170d,ionising radiation,Ionising radiation
694b9969-f244-42ba-8451-43b7704d4a17,0310cf09-b06f-45ef-af69-b5a41880170d,particulate matter formation,Fine particulate matter formation
5c982c99-cb53-4109-89fc-e70ae7f20739,1b75e464-5938-4fbb-abc6-c15790d99ea7,ecotoxicity: marine no LT,
91142c38-1391-4ff2-9d44-7804ff869ddf,1b75e464-5938-4fbb-abc6-c15790d99ea7,photochemical oxidant formation: human health no LT,
93149f95-c634-4a69-9951-5175bb71308b,7c75c405-5084-429a-9edf-3f1d1fefad82,photochemical oxidant formation,Smog
f9c855a1-76d2-47f9-8f00-a43d29ab5183,24cd9adc-bbf8-49bc-a452-7f57073d7c6f,human toxicity: non-carcinogenic no LT,
59fc7e85-4981-4a77-baec-499b96a7351d,abe1bab4-939a-41ea-bf79-6db62d2c8a93,human toxicity: non-carcinogenic,Human non-cancer toxicity
447b2688-dd7b-4572-86fb-ba350b0c2d66,b5192a30-6786-4ef8-a955-e2645c3d5420,climate change: fossil (EF v3.1 - IPCC 2021),
ff8a287e-675b-4fa9-9ee8-3e7629a237cd,9f706f7a-3b76-47f8-ad14-c97d61c06e63,ecotoxicity: terrestrial no LT,Terrestrial ecotoxicity (TETP inf)
48fb30c1-cc5e-4349-a1d7-b31318103a9b,9f706f7a-3b76-47f8-ad14-c97d61c06e63,material resources: metals/minerals no LT,"abiotic depletion (elements, ultimate ultimate reserves)"
2fc38b3d-c003-456b-a600-094e40bdea11,9f706f7a-3b76-47f8-ad14-c97d61c06e63,ozone depletion no LT,ozone layer depletion (ODP steady state)
6548fdf6-5272-4c1d-87ae-9ff90110f963,4774e3fa-dbf0-4ba1-b15d-9ff90110f950,"energy resources: renewable, biomass",
e1c37718-1a91-4b58-8909-9480790afa50,208ef1bf-6c80-401e-b773-54f0960c09d9,"human toxicity: non-carcinogenic, inorganics no LT","Human toxicity, non-cancer_inorganics"
898e6dee-8569-441e-9bb5-83bcc0498013,208ef1bf-6c80-401e-b773-54f0960c09d9,land use no LT,Land use
41d8be82-2d0d-45bb-8611-d2a3c3bd6921,f7ccc5f2-24df-4135-bab9-d6d0d7eff96f,emissions to air no LT,Carcinogenic substances into air
6480fd29-ffe9-4f83-af6e-5035a9f98853,f7ccc5f2-24df-4135-bab9-d6d0d7eff96f,emissions to water no LT,Radioactive substances into water
2eef1d3e-81d9-40b2-ab1f-554d68332c3d,e57693cf-ed07-416c-8831-58f044f1bd76,climate change: aircraft emissions no LT,climate change
249df1f4-d3f8-4b3d-b613-a6fe8d54fafb,87a57579-d6c4-477c-a327-f863804a15aa,human health,Human health
bd933161-8d01-4737-8de2-ebbf8ec8b27e,87a57579-d6c4-477c-a327-f863804a15aa,human health,Human health
d3024630-b486-48e4-9548-cd39fbc2c811,b42b5d7d-371c-4c00-a601-cf9572670e00,natural resources no LT,
c08da64c-d174-4f80-8415-7d2b253fe92b,dccd97fd-bfe2-4ff9-8616-50a835ddc2f0,ecosystem quality,Freshwater ecosystems
ad474d7e-a357-4edc-ad63-28624c529fbc,dccd97fd-bfe2-4ff9-8616-50a835ddc2f0,human health,Human health
f3fc7ea3-1f58-40b9-9720-017471af1c1d,e1ba87fc-66bd-4be7-8b09-e4d14da279be,human health no LT,
